"0-Titolo pagina","1-DataTrek Item",2-HTPaginaID,3-HTSezioneID,4-HTPaginaTag,5-HTPaginaElaboarata,6-HTMAPage,7-HTOriginale,8-HTimdbID,"9-Data stellare"
"Bob Cummings",Q1277,9919,178,cummingsbob,2018-05-20T20:34:59,,,,
"Bob Fass",Q1278,6905,181,fassbob,2018-05-20T17:00:45,,,,
"Bob Gains",Q1279,9988,182,gainsbob,2018-05-20T20:35:01,,,,
"Bob Gunton",Q1280,7793,182,guntonbob,2018-05-20T20:34:24,,,,
"Bob Ingersoll",Q1281,10449,184,ingersollbob,2018-05-20T21:13:01,,,nm0408777,
"Bob Johnson",Q1282,6997,185,johnsonbob,2018-05-20T17:00:48,,,,
"Bob Kirsh",Q1283,8922,186,kirshbob,2018-05-20T20:34:43,,,,
"Bob Lyon",Q1284,6991,187,lyonbob,2018-05-20T17:00:48,,,,
"Bob McGovern",Q1285,10089,188,mcgovernbob,2018-05-20T20:35:05,,,,
"Bob Miles",Q1286,1417,188,milesbob,2018-05-20T16:21:02,,,nm0587067,
"Bob Minor",Q1287,8656,188,minorbob,2018-05-20T20:34:38,,,,
"Bob Morrisey",Q1288,1432,188,morriseybob,2018-05-20T16:21:03,,,nm0607031,
"Bob Orrison",Q1289,1470,190,orrisonbob,2018-05-20T16:21:04,,,nm0650657,
"Bob Rivers",Q1290,6521,193,riversbob,2018-05-20T17:00:38,,,,
"Bob Rudd",Q1291,9776,193,ruddbob,2018-05-20T20:34:55,,,,
"Bob Sarlatte",Q1292,9951,194,sarlattebob,2018-05-20T20:35:00,,,,
"Bob Stillman",Q1293,9621,194,stillmanbob,2018-05-20T20:34:53,,,,
"Bobbi Sue Luther",Q1294,6592,187,lutherbobbisue,2018-05-20T17:00:39,,,,
"Bobby Bass",Q1295,903,177,bassbobby,2018-05-20T16:20:47,,,nm0060037,
"Bobby Burns",Q1296,9525,177,burnsbobby,2018-05-20T20:34:51,,,,
"Bobby C. King",Q1297,8750,186,kingbobbyc,2018-05-20T20:34:39,,,,
"Bobby Clark",Q1298,1027,178,clarkbobby,2018-05-20T16:20:50,,,nm0163710,
Bochra,Q1299,7630,94,bochra,2018-04-22T16:17:33,Bochra,,,
Boday,Q1300,10509,94,boday,2018-04-22T16:17:48,Boday,,,
"Body Parts",Q1302,2477,1,dsn097,2018-04-02T21:04:37,Body_Parts_%28episode%29,,tt0708508,
"Body and Soul",Q1301,2886,22,voy155,2018-04-07T16:50:11,Body_and_Soul,,tt0708859,54238.3
Boheeka,Q1303,8467,94,boheeka,2018-04-22T16:17:38,Boheeka,,,
Bok,Q1304,7286,94,bok,2018-04-22T16:17:33,Bok,,,
Bok'Nor,Q1305,72,36,ascardboknor,2018-05-06T13:10:51,Bok%27Nor,,,
"Bolarus IX",Q1306,4040,150,bolarus9,2018-04-22T21:14:28,,,,
Boliani,Q1307,5041,122,boliani,2018-05-13T12:23:20,,,,
Bolka,Q1308,10483,94,bolka,2018-04-22T16:17:48,Bolka,,,
Boma,Q1309,2249,94,boma,2018-04-22T16:17:20,Boma,,,
"Bomba neutronica multicinetica",Q1310,5212,211,bombaneutronicamulti,2018-05-20T22:01:42,,,,
"Boni Yanagisawa",Q1311,1752,200,yanagisawaboni,2018-05-20T16:21:13,,,nm0945848,
"Bonita Friedericy",Q1312,6398,181,friedericybonita,2018-05-20T17:00:35,,,,
"Bonnie Beecher",Q1313,6324,177,beecherbonnie,2018-05-20T17:00:33,,,,
"Booby Trap",Q1314,2608,21,tng054,2018-04-02T21:04:41,Booby_Trap,,,43205.6
"Booth Colman",Q1315,9513,178,colmanbooth,2018-05-20T20:34:51,,,,
Boothby,Q1316,2184,94,boothby,2018-04-22T16:17:20,Boothby,,,
"Bopak III",Q1317,4039,150,bopak3,2018-04-22T21:14:28,,,,
Boq'ta,Q1318,2250,94,boqta,2018-04-22T16:17:20,Boq%27ta,,,
"Boraal II",Q1319,4125,150,boraal2,2018-04-22T21:14:29,,,,
"Boraal II/Vacca VI Transformation",Q1320,5238,208,boraalvacca,2018-05-27T12:54:30,,,,
Boraalani,Q1321,5039,122,boraalani,2018-05-13T12:23:20,,,,
Borath,Q1322,8560,94,borath,2018-04-22T16:17:38,Borath,,,
Boratus,Q1323,7677,94,boratus,2018-04-22T16:17:34,Boratus,,,
Borderland,Q1324,2363,17,ent080,2018-04-02T21:04:32,,,,
"Boreal III",Q1325,4126,150,boreal3,2018-04-22T21:14:29,,,,
Boreth,Q1326,4038,150,boreth,2018-04-22T21:14:28,,,,
"Boreth (holodeck)",Q1327,5239,208,borethh,2018-05-27T12:54:30,,,,
Borg,Q1328,3282,28,borg,2018-05-20T21:39:02,Borg,,,
"Boris Lee Krutonog",Q1329,1309,186,krutonogboris,2018-05-20T16:20:59,,,nm0472928,
