0-Titolo originale,1-DataTrek Item,2-Codice TNG Companion,3-Data di pubblicazione in Italia,4-Data di pubblicazione originale,5-DVD europeo,6-Numero di produzione,7-Regista,8-Regista Q,9-Sceneggiatura,10-Sceneggiatura Q,11-Storia,12-Storia Q,13-Sequenza di trasmissione,14-Stagione,15-Titolo ES,16-Titolo FR,17-Titolo italiano,18-Titolo JP,19-Titolo tedesco,20-VHS britannica,21-Music by,22-Music by Q,23-Precedente,24-Precedente Q,25-Successivo
Who Watches the Watchers?,Q10035,ww,1995-01-04,1989-10-16,1,152,Robert Wiemer,Q7781,,,"Hans Beimler,Richard Manning",,52,3,¿Quiés vigila a los vigilantes?,Observateurs observés,Prima direttiva,Shugoshin Densetsu (Daemon Legend),Der Gott der Mintakaner,26 (U),Ron Jones,Q7841,The Survivors,Q9257,Q9072
Allegiance,Q347,al,1995-01-19,1990-03-26,5,166,Winrich Kolbe,Q10098,,,"Hans Beimler,Richard Manning",,66,3,Lealtad,Allégeance,Questione di lealtà,Sugata-naki Yukai-han (Non-figure Kidnapper),Versuchskaninchen,33 (U),Ron Jones,Q7841,Sins of the Father,Q8296,Q1569
Data's Day,Q2255,dd,1995-02-10,1991-01-07,3,185,Robert Wiemer,Q7781,"Ronald D. Moore,Harold Apter","Q7854,Q3666",Harold Apter,Q3666,85,4,Un día en la vida de Data,Une journée de Data,Una giornata di Data,Human Android Data (Human Android Data),Datas Tag,43 (U),Ron Jones,Q7841,The Loss,Q9172,Q9292
Where Silence Has Lease,Q10027,ws,1994-12-07,1988-11-28,1,128,Winrich Kolbe,Q10098,,,Jack B. Sowards,Q4055,28,2,Donde el silencio es esperanza,L'emprise du silence,Dove regna il silenzio,Yami no Junin (Dweller in Darkness),Illusion oder Wirklichkeit? (Illusione o realtà?),14 (PG),Ron Jones,Q7841,The Child,Q9082,Q2805
Loud as a Whisper,Q5533,lw,1994-12-12,1989-01-09,2,132,Larry Shaw,Q5255,,,Jacqueline Zambrano,Q4081,31,2,Fuerte como un susurro,L'éclat d'un murmure,Rumoroso come un sussurro,Computer ni Natta Otoko (Man Become Computer),Der stumme Vermittler (Il mediatore muto),16 (U),Ron Jones,Q7841,The Outrageous Okona,Q9208,Q9236
The Drumhead,Q9114,dr,1995-02-22,1991-04-29,6,195,Jonathan Frakes,Q53,,,Jeri Taylor,,95,4,El juicio del tambor,Chasse aux sorcières,Giustizia sommaria,Giwaku (Disbelief),Das Standgericht,48 (PG),Ron Jones,Q7841,QPid,Q7339,Q3628
The Nth Degree,Q9203,nd,1995-02-20,1991-04-01,5,193,Robert Legato,Q7755,,,Joe Menosky,Q4422,93,4,El enésimo grado,E-nième degré,All'ennesima potenza,Nazo no Zunou-kaikaku (Mysterious Brain Evolution),Die Reise ins Ungewisse,47 (U),Ron Jones,Q7841,Identity Crisis,Q3868,Q7339
The Naked Now,Q9194,nn,1991-07-11,1987-10-05,1,103,Paul Lynch,Q7029,Dorothy Catherine Fontana,Q2641,John D.F. Black,Q4481,3,1,El presente inexorable,L'<i>Entreprise</i> en folie,Contaminazione,Michi karano Yuwaku (Attract from Unknown),Gedankengift (Veleno del pensiero),2 (PG),Ron Jones,Q7841,Encounter at Farpoint,Q2866,Q1963
Skin of Evil,Q8311,se,1997-03-28,1988-04-25,6,122,Joseph L. Scanlan,Q4635,"Hannah Louise Shearer,Joseph Stefano","Q3645,Q4643",Joseph Stefano,Q4643,23,1,La piel del mal,L'essence du mal,La pelle del male,Kanashimi no Hoshi ni Kieta Tasha (Tasha Lost on Plaintful Planet),Die schwarze Seele (L'anima nera),12 (PG),Ron Jones,Q7841,Symbiosis,Q8756,Q9999
Final Mission,Q3127,fm,1995-02-08,1990-11-19,3,183,Corey Allen,Q2023,"Jeri Taylor,Kasey Arnold-Ince","Q4318,Q4811",Kasey Arnold-Ince,Q4811,83,4,Misión final,La dernière mission,L'ultima missione,Final Mission Aratanaru Tabidachi (Final Mission New Journey),Die letzte Mission,42 (U),Ron Jones,Q7841,Future Imperfect,Q3259,Q9172
The Royale,Q9234,ro,1994-12-19,1989-03-27,3,138,Cliff Bole,Q1941,,,Keith Mills,,38,2,,Hôtel Royal,Hotel Royale,Hotel Royale no Nazo (Mystery of Hotel Royale),Hotel Royale,19 (U),Ron Jones,Q7841,Contagion,Q2010,Q9375
The Battle,Q9065,ba,1991-08-29,1987-11-16,3,110,Rob Bowman,Q7704,Herbert J. Wright,Q3764,Larry Forrester,Q5250,9,1,La batalla,La bataille,La battaglia,Fukushu no Ferengi-seijin (Revengeful Ferengi),Die Schlacht von Maxia (La battaglia di Maxia),5 (PG),Ron Jones,Q7841,Justice,Q4709,Q3778
The Outrageous Okona,Q9208,ok,1994-12-09,1988-12-12,1,130,Robert Becker,Q7711,Burton Armus,Q1505,"Les Menchen,Lance Dickson,David Landsberg","Q5379,Q5218,Q2313",30,2,El escándalo Okona,Okona le magnifique,Okona l'immorale,Muhoumono Okona (Outrageous Okona),Der unmögliche Captain Okona (L'impossibile Capitano Okona),15 (U),Ron Jones,Q7841,"Elementary, Dear Data",Q2805,Q5533
First Contact (episodio),Q3137,fc,1995-02-15,1991-02-16,4,189,Cliff Bole,Q1941,"David Bischoff,Ronald D. Moore,Michael Piller,Joe Menosky","Q2278,Q7854,Q6295,Q4422",Marc Scott Zicree,Q5898,89,4,Primer contacto,Premier contact,Primo contatto,First Contact,Erster Kontakt,45 (PG),Ron Jones,Q7841,Clues,Q1957,Q3289
Shades of Gray,Q8168,sg,1994-12-30,1989-07-17,7,148,Rob Bowman,Q7704,"Hans Beimler,Richard Manning,Maurice Hurley","Q3651,Q7635,Q6102",Maurice Hurley,Q6102,48,2,,Au seuil de la mort,Ombre dal passato,Akumu no Hate ni (In the End of Nightmare),Kraft der Träume (Il potere dei sogni),24 (PG),Ron Jones,Q7841,Peak Performance,Q7076,Q3025
Q Who?,Q7321,qw,1994-12-23,1989-05-08,4,142,Rob Bowman,Q7704,,,Maurice Hurley,Q6102,42,2,,Docteur Q,Chi è Q?,Mugen no Dai-uchu (Infinite Universe),Zeitsprung mit Q (Salto temporale con Q),21 (U),Ron Jones,Q7841,Pen Pals,Q7091,Q7989
The Neutral Zone,Q9196,nz,1997-04-01,1988-05-16,7,126,James L. Conway,Q4126,Maurice Hurley,Q6102,"Maurice Hurley,Deborah McIntyre,Mona Clee","Q6102,Q2403,Q6445",26,1,La zona neutral,La zone neutre,La zona neutrale,Totsuzen no Houmonsha (Suddenly Visitor),Die neutrale Zone (La zona neutrale),13 (PG),Ron Jones,Q7841,Conspiracy,Q2006,Q9082
The High Ground,Q9148,hi,1995-01-12,1990-01-29,3,160,Gabrielle Beaumont,Q3276,,,Melinda M. Snodgrass,Q6174,60,3,Una causa noble,Les hautes terres,I terroristi di Rutia,Ijigen Terrorist (Another Dimension Terrorist),Terror auf Rutia Vier,30 (PG),Ron Jones,Q7841,The Hunted,Q9152,Q2429
Up The Long Ladder,Q9737,ul,1994-12-26,1989-05-22,5,144,Winrich Kolbe,Q10098,,,Melinda M. Snodgrass,Q6174,44,2,,Nouvel échelon,L'avventura del <i>Mariposa</i>,Aratanaru Ibuki (New Breath),Der Planet der Klone (Il pianeta dei cloni),22 (PG),Ron Jones,Q7841,Samaritan Snare,Q7989,Q5871
Lonely Among Us,Q5501,la,1991-08-15,1987-11-02,2,108,Cliff Bole,Q1941,Dorothy Catherine Fontana,Q2641,Michael Halperin,Q6262,7,1,Soledad en compañía,Le solitaire,Solo in mezzo a noi,Sugata-naki Uchu-jin (Non-figure Alien),Die geheimnisvolle Kraft (La forza misteriosa),4 (PG),Ron Jones,Q7841,Where No One Has Gone Before,Q10026,Q4709
The Best of Both Worlds - Part I,Q9068,bb,1995-01-27,1990-06-18,7,174,Cliff Bole,Q1941,,,Michael Piller,Q6295,74,3,"Lo mejor de dos mundos, parte I",Le meilleur des deux mondes I,L'attacco dei Borg - Prima parte,Fuyu Kikai-toshi Borg (Floating Mechanical City Borg),In den Händen der Borg,37 (PG),Ron Jones,Q7841,Transfigurations,Q9580,Q9069
The Best of Both Worlds - Part II,Q9069,b2,1995-01-28,1990-09-24,1,175,Cliff Bole,Q1941,,,Michael Piller,Q6295,75,4,"Lo mejor de dos mundos, parte II",Le meilleur des deux mondes II,L'attacco dei Borg - Seconda parte,Fuyu Kikai-toshi Borg (Floating Mechanical City Borg),Angriffsziel Erde,38 (PG),Ron Jones,Q7841,The Best of Both Worlds - Part I,Q9068,Q3071
Evolution,Q3025,ev,1995-01-02,1989-09-25,1,150,Winrich Kolbe,Q10098,Michael Piller,Q6295,"Michael Piller,Michael Wagner","Q6295,Q6313",49,3,Evolución,Evolution,Evoluzione,Shinka no Kokuin (Mark of Evolution),Die Macht der Naniten,25 (PG),Ron Jones,Q7841,Shades of Gray,Q8168,Q9121
Booby Trap,Q1314,bt,1995-01-06,1989-10-30,2,154,Gabrielle Beaumont,Q3276,"Richard Danus,Michael Piller,Ron Roman","Q7611,Q6295,Q7847","Michael Wagner,Ron Roman","Q6313,Q7847",54,3,Trampa,Pièges,Trappola spaziale,Menthar-seijin no Wana (Menthar's Trap),Die Energiefalle,27 (PG),Ron Jones,Q7841,The Bonding,Q9072,Q9119
The Offspring,Q9204,of,1995-01-17,1990-03-12,4,164,Jonathan Frakes,Q53,,,René Echevarria,Q7544,64,3,La descendencia,Paternité,La figlia di Data,Andoroid no Mezame (Android's Awakening),Datas Nachkomme,32 (PG),Ron Jones,Q7841,Yesterday's Enterprise,Q10167,Q8296
Brothers,Q1453,br,1995-02-03,1990-10-08,1,177,Rob Bowman,Q7704,,,Rick Berman,Q7652,77,4,Hermanos,Les frères,Fratelli,Eien no Kizuna (Eternal Bond),Die ungleichen Brüder,39 (PG),Ron Jones,Q7841,Family,Q3071,Q8699
Datalore,Q2256,da,1992-08-03,1988-01-18,4,114,Rob Bowman,Q7704,"Robert Lewin,Gene Roddenberry","Q7756,Q3396","Robert Lewin,Maurice Hurley","Q7756,Q6102",13,1,Datalore,Data et Lore,Datalore,Android no Uragiri (Android's Betrayal),Das Duplikat (Il duplicato),7 (PG),Ron Jones,Q7841,The Big Goodbye,Q9071,Q442
11001001,Q109,oo,1992-08-24,1988-02-01,4,116,Paul Lynch,Q7029,,,"Robert Lewin,Maurice Hurley","Q7756,Q6102",15,1,Números binarios,11001001,1001001,Nusumareta Enterprise (Stolen Enterprise),11001001,8 (PG),Ron Jones,Q7841,Angel One,Q442,Q9512
The Defector,Q9104,df,1995-01-31,1989-12-30,3,158,Robert Scheerer,Q7770,,,Ronald D. Moore,Q7854,58,3,El traidor,Le transfuge,Il traditore,Boumei-sha (Defector),Der Überläufer,29 (PG),Ron Jones,Q7841,The Vengeance Factor,Q9277,Q9152
Night Terrors,Q6699,nt,1995-02-17,1991-03-18,5,191,Les Landau,Q5378,"Jeri Taylor,Pamela Douglas","Q4318,Q6934",Shari Goodhartz,Q8188,91,4,Terrores nocturnos,Terreurs nocturnes,Terrori notturni,Nazo-meita Kyouki (Enigmatic Madness),Augen in der Dunkelheit,46 (PG),Ron Jones,Q7841,Galaxy's Child,Q3289,Q3868
The Emissary,Q9115,em,1994-12-28,1989-06-26,5,146,Cliff Bole,Q1941,"Hans Beimler,Richard Manning","Q3651,Q7635",Thomas H. Calder,Q9320,46,2,,L'émissaire,L'emissario,Ai no Shisha (Emissary of Love),Klingonenbegegnung (Incontro di Klingon),23 (PG),Ron Jones,Q7841,Manhunt,Q5871,Q7076
Devil's Due,Q2504,dv,1995-02-13,1991-02-04,4,187,Tom Benko,Q9447,Philip LaZebnik,Q7171,"William Douglas Lansford,Philip LaZebnik","Q10053,Q7171",87,4,La regreso del Diablo,Le tribut du démon,Il diavolo,Akuma no Keiyaku (Devil's Contract),Der Pakt mit dem Teufel,44 (PG),Ron Jones,Q7841,The Wounded,Q9292,Q1957
