0-Titolo originale,1-DataTrek Item,2-Codice TNG Companion,3-Data di pubblicazione in Italia,4-Data di pubblicazione originale,5-DVD europeo,6-Numero di produzione,7-Regista,8-Regista Q,9-Sceneggiatura,10-Sceneggiatura Q,11-Storia,12-Storia Q,13-Sequenza di trasmissione,14-Stagione,15-Titolo ES,16-Titolo FR,17-Titolo italiano,18-Titolo JP,19-Titolo tedesco,20-VHS britannica,21-Music by,22-Music by Q,23-Precedente,24-Precedente Q,25-Successivo
Suspicions,Q8740,su,1996-07-22,1993-05-10,,248,Cliff Bole,Q1941,,,"Joe Menosky,Naren Shankar","Q4422,Q6571",148,6,Sospechas,Soupçons,Sospetti,Shin Akukan Technology Chou-phase Shield (New Subspace Technology Metaphasic Shields),Verdächtigungen,74 (PG),Dennis McCarthy,Q2471,Frame of Mind,Q3187,Q7679
Unnatural Selection,Q9730,us,1994-12-13,1989-01-30,2,133,Paul Lynch,Q7029,,,"John Mason,Mike Gray","Q4535,Q6367",33,2,Selección no natural,Sélection contre nature,Selezione innaturale,DNA,Die jungen Greise (I vecchi giovani),17 (PG),Dennis McCarthy,Q2471,The Schizoid Man,Q9236,Q113
The Child,Q9082,tc,1994-12-06,1988-11-21,1,127,Rob Bowman,Q7704,,,"Jon Povill,Maurice Hurley,Jaron Summers","Q4599,Q6102,Q4198",27,2,El niño,L'enfant,Il bambino,Hikari kara Umareta Seimei (Life Born from Light),Das Kind (Il bambino),14 (PG),Dennis McCarthy,Q2471,The Neutral Zone,Q9196,Q10027
Time Squared,Q9375,tm,1994-12-20,1989-04-03,4,139,Joseph L. Scanlan,Q4635,Maurice Hurley,Q6102,Kurt Michael Bensmiller,Q5174,39,2,,Boucle temporelle,Tempo al quadrato,Senritsu no Mirai (Terrifying Future),Die Zukunft schweigt (Il futuro tace),20 (PG),Dennis McCarthy,Q2471,The Royale,Q9234,Q9153
Remember Me,Q7534,rm,1995-02-04,1990-10-22,2,179,Cliff Bole,Q1941,,,Lee Sheldon,Q5324,79,4,Recuérdame,Souvenez- vous de moi,Ricordatemi,Kyoufu no Warp Bubble (Terrible Warp Bubble),Das Experiment,40 (U),Dennis McCarthy,Q2471,Suddenly Human,Q8699,Q5331
Firstborn,Q3140,fb,1997-09-19,1994-04-25,,273,Jonathan West,Q4615,René Echevarria,,Mark Kalbfeld,Q5975,173,7,El primogénito,Le premier rite,Alexander,Klingon-senshi eno Michi (Way to Klingon Warrior),Ritus des Aufsteigens,87,Dennis McCarthy,Q2471,Journey's End,Q4657,Q1270
The Ensigns of Command,Q9121,ec,1994-12-31,1989-10-02,1,149,Cliff Bole,Q1941,,,Melinda M. Snodgrass,Q6174,50,3,La señas del mando,Prise de commandement,Le insegne del comando,Imin no Uta (Song of Emigrant),Die Macht der Paragraphen,25 (PG),Dennis McCarthy,Q2471,Evolution,Q3025,Q9257
The Measure of a Man,Q9185,mm,1994-12-15,1989-02-13,3,135,Robert Scheerer,Q7770,,,Melinda M. Snodgrass,Q6174,35,2,La medida de un hombre,Etre ou ne pas être,La misura di un uomo,Ningen no Joken (Term of Man),Wem gehört Data? (Di chi è Data?),18 (PG),Dennis McCarthy,Q2471,A Matter of Honor,Q113,Q9102
Second Chances,Q8117,sd,1996-07-24,1993-05-24,,250,LeVar Burton,Q5403,René Echevarria,,Michael A. Medlock,Q6227,150,6,Segunda oportunidad,Deuxième chance,Duplicato,Mou-hitori no William Riker (Another William Riker),Riker : 2 = ?,75 (PG),Dennis McCarthy,Q2471,Rightful Heir,Q7679,Q9393
Rascals,Q7452,ra,1996-07-04,1992-11-02,,233,Adam Nimoy,Q199,Allison Hock,Q351,"Michael Piller,Ward Botsford,Diana Dru Botsford","Q6295,Q9984,Q2517",133,6,Picaros,Les petites canailles,Giovani eroi,Shounen-Shikikan Jean-Luc Picard (Boy Command Jean-Luc Picard),Erwachsene Kinder,67 (U),Dennis McCarthy,Q2471,True Q,Q9652,Q110
The Survivors,Q9257,sv,1995-01-03,1989-10-09,1,151,Les Landau,Q5378,,,Michael Wagner,Q6313,51,3,Los supervivientes,Les survivants,I sopravvissuti,Itoshiki Hito no Tame ni (For Lover),Überlebenden von Rana Vier,26 (U),Dennis McCarthy,Q2471,The Ensigns of Command,Q9121,Q10035
The Host,Q9150,ho,1995-02-24,1991-05-13,6,197,Marvin V. Rush,Q6048,,,Michel Horvat,Q6326,97,4,El huesped,L'hôte,L'ospite,"Ai no Keshin Odan (Avater of Love, Odan)","Odan, der Sonderbotschafter",49 (PG),Dennis McCarthy,Q2471,Half a Life,Q3628,Q9187
The Quality of Life,Q9221,ql,1996-07-06,1992-11-16,,235,Jonathan Frakes,Q53,,,Naren Shankar,Q6571,135,6,Capacidad de vida,Vie et mort d'un Exocomp,Il sapore della vita,Kikai-jikake no Chisana Seimei (Mechanical Small Life),Datas Hypothese,68 (U),Dennis McCarthy,Q2471,A Fistful of Datas,Q110,Q1682
Force of Nature,Q3177,fn,1997-09-05,1993-11-15,,261,Robert Lederman,Q7754,,,Naren Shankar,Q6571,161,7,La fuerza de la naturaleza,Quand la nature reprend son droit,Inquinamento spaziale,Kiken-na Warp Energy (Dangerous Warp Energy),Die Raumkatastrophe,81 (U),Dennis McCarthy,Q2471,Attached,Q900,Q3957
Attached,Q900,at,1997-09-04,1993-11-08,,260,Jonathan Frakes,Q53,,,Nicholas Sagan,Q6680,160,7,Unidos,Les enchaînés,Uniti,Konmei no Wakusei Kesprytt (Confusing Planet Kesprytt),Kontakte,80 (U),Dennis McCarthy,Q2471,Dark Page,Q2237,Q3177
Bloodlines,Q1270,bl,1997-09-20,1994-05-02,,274,Les Landau,Q5378,,,Nicholas Sagan,Q6680,174,7,Líneas de sangre,Les liens du sang,La vendetta di Bok,Onshu no Kanata ni (Beyond Rancor),Boks Vergeltung,87 (PG),Dennis McCarthy,Q2471,Firstborn,Q3140,Q2845
Angel One,Q442,ao,1992-08-10,1988-01-25,4,115,Michael Rhodes,Q6298,,,Patrick Barry,Q6992,14,1,Ángel Uno,Angel One,Missione di soccorso,Ubawareta Megami-tachi no Wakusei (Bereft Goddesses' Planet),Planet Angel One (Pianeta Angel One),7 (PG),Dennis McCarthy,Q2471,Datalore,Q2256,Q109
Conundrum,Q2012,cn,1995-03-17,1992-02-17,4,214,Les Landau,Q5378,Barry M. Schkolnick,Q1012,Paul Schiffer,Q7048,114,5,Enigma,Enigme,Amnesia,Nazo-meita Kioku-soushitsu (Enigmatic Memory Blackout),Mission ohne Gedächtnis,57 (U),Dennis McCarthy,Q2471,The Masterpiece Society,Q9184,Q7264
Cost of Living,Q2042,cs,1995-06-21,1992-04-20,5,220,Winrich Kolbe,Q10098,,,Peter Allan Fields,Q7122,120,5,Es difícil vivir,Le prix d'une vie,Il prezzo della vita,Lwaxana no Kekkon (Lwaxana's Marriage),Hochzeit mit Hindernissen,60 (U),Dennis McCarthy,Q2471,The First Duty,Q9135,Q9213
Half a Life,Q3628,hl,1995-02-23,1991-05-06,6,196,Les Landau,Q5378,Peter Allan Fields,Q7122,"Peter Allan Fields,Ted Roberts","Q7122,Q8943",96,4,Media vida,La moitié d'une vie,Una vita a metà,Ketsubetsu no Gishiki (Ceremony of Break Away),Die Auflösung,48 (PG),Dennis McCarthy,Q2471,The Drumhead,Q9114,Q9150
Disaster,Q2563,di,1995-03-07,1991-10-21,2,205,Gabrielle Beaumont,Q3276,Ronald D. Moore,Q7854,"Philip A. Scorza,Ron Jarvis","Q7166,Q7840",105,5,Desastre,Désastre,Disastro sull'<i>Enterprise</i>,<i>Enterprise</i> Panic,Katastrophe auf der <i>Enterprise</i>,53 (PG),Dennis McCarthy,Q2471,Silicon Avatar,Q8264,Q9142
Suddenly Human,Q8699,sh,1995-02-02,1990-10-15,1,176,Gabrielle Beaumont,Q3276,"John Whelpley,Jeri Taylor","Q4577,Q4318",Ralph Phillips,Q7425,78,4,Subitamente humano,Humain soudainement,Improvvisamente umano,Uchu-koji Jono (Space Orphan Jono),Endars Sohn,39 (PG),Dennis McCarthy,Q2471,Brothers,Q1453,Q7534
Transfigurations,Q9580,tf,1995-01-26,1990-06-04,7,173,Tom Benko,Q9447,,,René Echevarria,Q7544,73,3,Transfiguraciones,,Trasformazioni,Kagayaki no Naka e... (In the Flush...),Wer ist John?,37 (PG),Dennis McCarthy,Q2471,Ménage à Troi,Q6191,Q9068
The Mind's Eye,Q9187,mi,1995-02-25,1991-05-27,6,198,David Livingston,Q2316,René Echevarria,,"René Echevarria,Ken Schafer","Q7544,Q4928",98,4,El ojo de la mente,Vue de l'esprit,Con gli occhi della mente,Uragiri no Jokyoku (Prelude of Betrayal),Verräterische Signale,49 (PG),Dennis McCarthy,Q2471,The Host,Q9150,Q3928
Déjà Q,Q2429,dq,1995-01-13,1990-02-05,4,161,Les Landau,Q5378,,,Richard Danus,Q7611,61,3,Déjà Q,Déjà Q,Déjà Q,DEJA Q,Noch einmal Q,31 (PG),Dennis McCarthy,Q2471,The High Ground,Q9148,Q114
The Last Outpost,Q9169,lo,1991-08-08,1987-10-19,2,107,Richard Colla,Q7608,Herbert J. Wright,Q3764,Richard Krzemien,Q7629,5,1,El último baluarte,Le dernier avant- poste,L'ultimo avamposto,Nazo no Uchu-seimeitai (Mysterious Space-lifeform),Der Wächter (Il guardiano),3 (PG),Dennis McCarthy,Q2471,Code of Honor,Q1963,Q10026
Unification - Part I,Q9714,u1,1995-03-09,1991-11-04,2,208,Les Landau,Q5378,Jeri Taylor,Q4318,"Rick Berman,Michael Piller","Q7652,Q6295",107,5,"Unificacion, parte I",Réunification I,Il segreto di Spock - Prima parte,Sen'nyu! Romulan Teikoku (Infiltrate! Romulan Empire),Wiedervereinigung?,54 (U),Dennis McCarthy,Q2471,The Game,Q9142,Q9715
